Hash,FromAddress,ToAddress,Amount,Memo,Timestamp
2BE709C17DAD16753C45E9F76F99846E20C8A5F1B6F5F5825724B6540DD18AE9,rwefSJg5aNdFgZi73V74bivtdExR97aqmY,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,5.198019,core17j446zp9krj47r7a2kw3y6tv8dvyzsym42l4fq:1007961752909,2023-05-24 13:22:01 +0000 UTC
698E82D74451DEE8A8D556A64E9744440106456F26BCABE64687F0E52FC6BF14,rMXRTLw3RdVa4Xg1jhtJUhvE1JLEfdCnFc,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,59.670804,core1sam4xnhc39wa7460z4r8vltakyxxmenq3f3p4y:1007961752909,2023-05-24 12:50:32 +0000 UTC
9676EBEFE083E784FA93592BC1653387C8A33A2C79A400F8B16D88A16B882E36,r9qvx1ktGkDohdptnJNaYqFA8DCYixKJSY,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,4995.000000,core1qnvwd8vkryk53r6eaew8qzjafh3uyctpexjwlw:1007961752909,2023-05-24 12:49:31 +0000 UTC
C8B78914E0AD33E5A968A40F7E9B5B25D27AD67698D6FA0E8C3D892C76A9A23A,rPtHup8MXeTbjEETpBuoM73MxGUHFN282a,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,5.000000,core1yenjrdp6wy2vrzge70ew4aprxgkaxjy6dwzflp:1007961752909,2023-05-24 12:21:52 +0000 UTC
F6CBAD214BB79BCB4D50CF5DC0633BF0CC8F007072629123977704AAD04918D2,r9qvx1ktGkDohdptnJNaYqFA8DCYixKJSY,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,5.000000,core1qnvwd8vkryk53r6eaew8qzjafh3uyctpexjwlw:1007961752909,2023-05-24 12:21:10 +0000 UTC
F76DD9B6109EB486A1C4BB91ADA4A0E1D1B3ADF3C3028DC6A8BE5D9EF562DB8B,rEmq7iK2Gt6DQR72EDwMYaGWziFgWCAcHy,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,216.000000,core1rspkvw33f2pek3h93g9rzzrmqhaxtql5fqrlsm:1007961752909,2023-05-24 09:28:41 +0000 UTC
9E553420BC597100749EB534AA3137D4845A919BFC9E1660E6AD15CD198274B4,rEubfAvBWaY9ZnpNicvzvqsNKtaALTsrxN,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,43.646776,core184cn6se86h4ghnfvcz8zjz8wsdas20jej89wqc:1007961752909,2023-05-24 08:52:41 +0000 UTC
EA082AE47AE5E48810B2E4063FC3A09A94B0B58E127DC9860FF927D262B234BE,rMJtFvEVMf3u1fcdnX6NWTnbZT1Fzbca2b,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,2982.962731,core1a2xrk68s3cpe02kaa6vhfz7zmjp74mxxw2mvz8:1007961752909,2023-05-24 08:36:20 +0000 UTC
627C71572E3EE4F88B7BF7B0286AE8DC56296B2E1F20AED8AE73951F8A924765,r3MhtyVYfe35meenJJZ1evs5jaDfX4bHPM,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,10000.000000,core1zeu60z4lwjf752kpjrxhc46yg4ukv0xzl680m2:1007961752909,2023-05-24 08:20:01 +0000 UTC
0D09D3F07E647B710F80EC82515B6505731F8126E8FCA15FE09ED91958B10D17,r3ZfdPEE1EXHortoCC175DLbhn49SemX8q,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,4.910833,core1fgnthjapqa0dqcgdqlkq7ccjmm06e9hfewvax7:1007961752909,2023-05-24 06:37:21 +0000 UTC
